,idhogar,parentesco1,Id,hhsize,v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,paredzinc,paredfibras,paredother,pisomoscer,pisocemento,pisoother,pisonatur,pisonotiene,pisomadera,techozinc,techoentrepiso,techocane,techootro,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,planpri,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,sanitario6,energcocinar1,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu4,elimbasu5,elimbasu6,epared1,epared2,epared3,etecho1,etecho2,etecho3,eviv1,eviv2,eviv3,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,edjefe,edjefa,meaneduc,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,qmobilephone,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,area2,SQBescolari,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,JM_Sum_of_Tablets,Total Sum Years of Schooling,JM_People_Educ_LT5,JM_People_Educ_LT10,JM_People_Educ_LT15,JM_People_Educ_LT20,JM_People_Educ_LT25,JM_1YrBehindSchool,JM_2YrBehindSchool,JM_3YrBehindSchool,JM_4YrBehindSchool,JM_5YrBehindSchool,JM_Sum_of_Disabled,JM_Sum_Of_Males,JM_Sum_Of_Females,JM_estadocivil1,JM_estadocivil2,JM_estadocivil3,JM_estadocivil4,JM_estadocivil5,JM_estadocivil6,JM_estadocivil7,JM_parentesco1,JM_parentesco2,JM_parentesco3,JM_parentesco4,JM_parentesco5,JM_parentesco6,JM_parentesco7,JM_parentesco8,JM_parentesco9,JM_parentesco10,JM_parentesco11,JM_parentesco12,JM_instlevel1,JM_instlevel2,JM_instlevel3,JM_instlevel4,JM_instlevel5,JM_instlevel6,JM_instlevel7,JM_instlevel8,JM_instlevel9,JM_mobilephone
10,3e16fab89,1,ID_848b0fdf1,3,100000.0,1,1,1,0,1,,0,2,2,0,1,1,0,3,3,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,3,no,6,no,10.333333,1,3.0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,36,9,36,0,9.0,0.0,106.77776999999999,0,31,0,1,3,3,3,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3
11,1e84a2ac8,1,ID_e5cdba865,1,,0,5,0,1,1,,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,no,15,no,15.0,2,0.5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,225,1,225,0,0.25,0.0,225.0,0,15,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
12,759df0194,1,ID_e18530139,3,120000.0,0,4,0,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,1,3,0.5,6,no,6.666666499999999,2,1.5,0,0,1,0,0,0,1,3,1,0,0,0,0,0,1,0,36,9,36,0,2.25,0.25,44.444443,3,20,0,3,3,3,3,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
13,f2fcf00fd,1,ID_96b1fbc81,2,100000.0,0,5,0,1,1,,0,1,1,0,1,1,0,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,2,no,8,no,9.5,2,1.0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,64,4,64,0,1.0,0.0,90.25,0,19,0,1,2,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
14,cb6bb28dd,1,ID_be1c0c929,5,,0,5,0,1,1,,0,4,4,0,1,1,0,5,5,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4,0,5,0.25,11,no,5.25,3,1.6666666,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,121,25,121,1,2.7777777,0.0625,27.5625,0,21,3,4,5,5,5,0,0,0,0,0,0,4,1,0,2,0,0,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,5
15,cbf24a06c,1,ID_e73a7a162,3,80000.0,0,4,0,1,1,,0,2,2,0,1,1,0,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,3,0.5,8,no,7.0,2,1.5,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,64,9,64,1,2.25,0.25,49.0,0,22,0,3,3,3,3,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
16,922a1f87a,1,ID_488b8ac27,2,90000.0,0,5,0,1,1,1.0,0,1,1,0,1,1,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,2,no,no,9,11.0,2,1.0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,81,4,0,0,1.0,0.0,121.0,2,22,0,1,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
17,a57a1f2f4,1,ID_451a7e35a,3,,0,8,0,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,3,2,no,15,15.5,3,1.0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,225,9,0,1,1.0,4.0,240.25,3,39,0,1,1,3,3,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3
18,9b084b23d,1,ID_feda408ee,2,,0,4,0,1,1,,0,1,1,0,1,1,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,2,8,17,no,10.0,2,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,289,4,289,0,1.0,64.0,100.0,0,20,1,1,1,2,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
19,6ddd55b3e,1,ID_340865cda,3,,0,5,0,1,1,1.0,0,1,1,1,1,2,1,2,3,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,3,0.5,11,no,13.5,2,1.5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,121,9,121,1,2.25,0.25,182.25,3,29,1,1,2,3,3,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3
20,652a7ffa0,1,ID_be0fdb30f,4,120000.0,0,5,0,1,1,,0,1,1,1,2,3,1,3,4,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,4,yes,11,no,11.0,2,2.0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,121,16,121,4,4.0,1.0,121.0,0,32,1,2,4,4,4,0,0,0,0,0,0,1,3,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,4
21,b9d64d752,1,ID_39794350a,4,168000.0,0,5,0,1,1,,1,1,2,0,2,2,1,3,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,4,yes,no,7,9.0,3,1.3333334,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,49,16,0,4,1.7777778999999998,1.0,81.0,0,26,1,3,4,4,4,1,0,0,0,0,0,2,2,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,4
22,09a26c158,1,ID_a0fb0a5c4,1,40000.0,0,1,0,0,0,,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,8,7,no,7.0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,49,1,49,0,1.0,64.0,49.0,0,7,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,e2f9717d3,1,ID_b00eafd98,2,155000.0,0,3,0,1,1,,0,1,1,0,1,1,0,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,2,no,no,14,10.0,1,2.0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,196,4,0,0,4.0,0.0,100.0,0,20,0,1,2,2,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
24,65d20b573,1,ID_1db0ed392,3,,0,6,0,1,1,2.0,0,2,2,0,1,1,0,3,3,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,1,3,0.5,no,14,13.0,3,1.0,1,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,196,9,0,0,1.0,0.25,169.0,3,39,0,0,3,3,3,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3
25,d9281c805,1,ID_6e9d356d7,1,,0,6,0,1,1,,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,8,no,9,9.0,3,0.33333334,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,81,1,0,0,0.11111112,64.0,81.0,0,9,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,5f7699c70,1,ID_b8802d92d,5,200000.0,0,3,0,1,1,,1,1,2,1,2,3,2,3,5,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,3,0,5,0.66666669,9,no,9.0,2,2.5,0,0,1,0,0,0,0,5,1,0,0,0,0,0,1,0,81,25,81,4,6.25,0.44444448,81.0,0,32,1,5,5,5,5,0,0,0,0,0,0,2,3,1,2,0,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,5
27,a0a822586,1,ID_8d1510a53,4,,0,6,0,1,1,,1,1,2,0,2,2,1,3,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,1,4,yes,15,no,14.0,2,2.0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,225,16,225,1,4.0,1.0,196.0,0,42,1,1,2,4,4,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4
28,b2ceb3e5c,1,ID_4f75bf2e4,3,350000.0,0,6,0,1,1,3.0,0,1,1,0,2,2,0,3,3,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,3,0.5,16,no,16.5,3,1.0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,256,9,256,1,1.0,0.25,272.25,3,43,0,0,1,3,3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3
29,69bfa2895,1,ID_32e57e6be,3,270000.0,0,6,0,1,1,,1,1,2,0,1,1,1,2,3,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,3,0.5,no,14,14.0,3,1.0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,1,0,196,9,0,1,1.0,0.25,196.0,0,29,1,1,3,3,3,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3
30,bcc196e5a,1,ID_202c0a339,3,300000.0,0,7,0,1,1,1.0,0,1,1,0,2,2,0,3,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,3,no,no,13,14.333332999999998,4,0.75,0,0,1,0,0,1,1,3,1,0,0,0,0,0,1,0,169,9,0,0,0.5625,0.0,205.44444,3,43,0,0,1,3,3,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
31,fca2c4361,1,ID_7855a5880,3,250000.0,0,5,0,1,1,,0,2,2,0,1,1,0,3,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,2,3,2,6,no,9.333333,3,1.0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,36,9,36,0,1.0,4.0,87.11110699999999,0,28,0,1,3,3,3,0,0,0,0,0,1,2,1,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
32,2b1a06ddc,1,ID_48c10ba80,2,,0,4,0,1,1,,0,1,1,0,1,1,0,2,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,2,yes,no,no,6.5,2,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,1.0,1.0,42.25,0,13,1,1,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
33,caa343c15,1,ID_f1b296d83,4,,0,4,0,1,1,,0,3,3,0,1,1,0,4,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,4,yes,no,15,12.0,3,1.3333334,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,225,16,0,4,1.7777778999999998,1.0,144.0,0,41,0,3,3,4,4,1,0,0,0,0,0,3,1,0,2,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4
34,0b7ee52ff,1,ID_d573a95c2,1,,0,4,0,1,1,,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,8,no,11,11.0,2,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,121,1,0,0,0.25,64.0,121.0,0,11,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,14aeb8605,1,ID_3f2e2fa81,5,130000.0,0,4,0,1,1,,1,2,3,0,2,2,1,4,5,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,3,0,5,0.66666669,no,4,6.0,2,2.5,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,0,16,25,0,4,6.25,0.44444448,36.0,0,24,2,5,5,5,5,0,0,0,0,0,0,3,2,1,2,0,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,5
